"zip_county_desc","partially_covered_hispanic","partially_covered_nothispanic","partially_covered_unknown","fully_covered_hispanic","fully_covered_not_hispanic","fully_covered_unknown"
"INDIANA","148","5148","2772","45","9368","4091"
"PERRY","54","3704","3562","19","4026","973"
"BEAVER","263","9206","4163","149","15569","5423"
"LAWRENCE","125","3778","2880","41","9325","5894"
"LUZERNE","2129","28549","7778","1107","55918","12405"
"CLARION","16","1964","681","32","6717","1780"
"JUNIATA","40","1880","199","21","3518","306"
"LEBANON","1072","12607","2143","740","17471","3423"
"WARREN","65","3676","1362","19","4222","916"
"ERIE","1398","19993","6772","583","40103","14509"
"SUSQUEHANNA","68","2782","944","33","4216","1314"
"LEHIGH","7245","48510","8133","4264","59738","11134"
"BERKS","4266","37653","12200","2704","42559","13788"
"YORK","2153","37050","7127","1464","62633","9481"
"FULTON","5","972","313",,"963","259"
"ALLEGHENY","4684","153495","61675","1894","172346","83301"
"WYOMING","79","2502","786","20","3894","924"
"MCKEAN","45","3103","1173","26","2920","2008"
"NORTHAMPTON","4486","46721","7954","2286","48066","8908"
"BEDFORD","66","3222","1367","27","3498","1693"
"WAYNE","86","3119","3298","120","5130","3965"
"MONROE","2221","16802","3681","1095","15628","3478"
"FOREST","5","264","128","8","1157","390"
"BRADFORD","121","3411","772","127","7282","1373"
"CLEARFIELD","110","3143","3317","57","7208","9058"
"GREENE","29","3409","1246","35","3415","1761"
"LANCASTER","5702","66287","8157","2711","67087","16479"
"SOMERSET","40","5644","1926","86","7798","3566"
"UNION","100","5185","413","83","6498","681"
"CAMERON","9","313","172",,"681","476"
"CUMBERLAND","784","24581","13520","531","30522","11623"
"CRAWFORD","193","4950","1089","86","15527","3204"
"CAMBRIA","151","9313","6250","99","18742","8531"
"VENANGO","102","1541","1260","34","4825","3199"
"MIFFLIN","31","3697","490","39","7970","653"
"POTTER","38","464","286","8","1035","646"
"BLAIR","92","5454","4895","144","10186","10497"
"WASHINGTON","588","27433","11379","345","27369","12343"
"SCHUYLKILL","408","15503","5526","313","21471","5834"
"LYCOMING","63","8137","2207","116","15847","4789"
"MERCER","143","4551","2980","76","18000","7602"
"CENTRE","512","13690","5025","316","25375","7905"
"OUT-OF-STATE","8196","49307","119100","3374","65761","86364"
"CHESTER","3532","76289","21186","2144","68822","20119"
"CLINTON","31","2293","374","34","5094","831"
"ELK","34","1130","1541","20","3586","5253"
"BUTLER","237","13122","4467","248","39406","8974"
"ARMSTRONG","87","5849","4280","33","8406","3661"
"LACKAWANNA","885","21347","8759","630","39329","14316"
"JEFFERSON","40","1944","1474","30","6435","4438"
"ADAMS","395","6993","2292","216","12590","2048"
"NORTHUMBERLAND","181","7965","796","178","17093","2284"
"WESTMORELAND","1162","35393","17008","408","49973","17263"
"MONTOUR","43","1687","135","95","6280","498"
"DELAWARE","1436","55644","28291","821","61787","30341"
"CARBON","293","8036","1352","259","9492","2025"
"TIOGA","40","1010","1225","29","2859","2147"
"BUCKS","1798","57511","28678","1637","73980","30144"
"PHILADELPHIA","1131","16798","9896","2155","29013","16284"
"DAUPHIN","1350","23791","7053","752","29814","7148"
"SULLIVAN","14","1297","197",,"834","288"
"FAYETTE","336","9026","9019","160","13502","10934"
"SNYDER","40","3683","282","55","5609","506"
"HUNTINGDON","51","2168","737","97","6621","2899"
"FRANKLIN","355","10060","2810","367","19283","3342"
"PIKE","275","2882","3886","145","2708","3301"
"MONTGOMERY","3780","140448","39467","1591","76951","39576"
"COLUMBIA","155","6623","545","148","13597","927"
