"zip_county_desc","partially_covered_female","partially_covered_male","partially_covered_unknown","fully_covered_female","fully_covered_male","fully_covered_unknown"
"DAUPHIN","22793","19977","766","38335","27302","722"
"SUSQUEHANNA","1434","1346","586","4075","3036","1470"
"MIFFLIN","1720","1541","22","7056","4880","41"
"CRAWFORD","3667","2794","53","13285","9724","198"
"CLINTON","1531","1517","37","5255","3701","68"
"BEAVER","9645","8729","219","22237","15752","441"
"POTTER","719","655","5","1480","1056","17"
"SULLIVAN","864","770","5","898","692","14"
"PHILADELPHIA","19717","14303","1243","37817","21530","2513"
"BLAIR","4897","4428","242","18782","12153","1120"
"BERKS","32549","29288","1530","55592","38598","1804"
"HUNTINGDON","1363","1253","143","5956","5687","546"
"ERIE","12766","12259","219","49579","36768","584"
"LYCOMING","5643","4966","350","18353","12449","724"
"GREENE","1785","1623","18","4387","4556","156"
"ELK","1038","952","125","5764","4614","417"
"MCKEAN","3618","3195","66","4182","2759","346"
"JEFFERSON","1474","1419","194","7171","5375","492"
"CAMERON","150","154","17","791","690","20"
"FAYETTE","5218","4503","654","20831","15343","4324"
"PIKE","3877","3432","68","6483","5093","74"
"CHESTER","68372","62727","1518","83746","60309","1774"
"CLARION","1163","1033","109","5783","4209","331"
"COLUMBIA","3259","3009","54","11814","8562","99"
"LUZERNE","18895","16987","747","54655","40931","1374"
"LEBANON","7768","6953","267","20202","13334","525"
"BEDFORD","1750","1638","54","5159","3659","297"
"MONTGOMERY","122593","104244","3492","107473","76909","3682"
"ADAMS","5897","5339","47","13542","9805","59"
"LANCASTER","35324","32512","546","89291","64202","1151"
"NORTHAMPTON","34422","32348","257","52613","38178","278"
"BUCKS","44638","39710","13747","94679","69262","3931"
"NORTHUMBERLAND","4012","3572","97","15226","11677","490"
"SCHUYLKILL","10506","9113","111","22547","17535","306"
"ARMSTRONG","4025","3621","189","11481","8081","643"
"WARREN","2719","2435","156","4842","3206","224"
"ALLEGHENY","133821","116455","2476","235346","171023","3982"
"FULTON","373","330","23","1267","922","59"
"WASHINGTON","18356","16269","354","37063","27241","1011"
"UNION","2509","2184","26","6596","4670","71"
"FRANKLIN","5408","4577","192","19459","13931","618"
"PERRY","4262","3672","20","5408","3824","46"
"WAYNE","3194","2820","201","7723","6583","365"
"VENANGO","1950","1712","42","7411","5189","113"
"CENTRE","8895","8916","2953","26333","21699","2662"
"JUNIATA","927","912","8","3104","2283","8"
"YORK","27464","25894","195","67627","47808","327"
"MERCER","3820","3242","39","18297","14072","284"
"SNYDER","1959","1799","35","5262","3895","36"
"DELAWARE","47594","42624","3677","83048","57866","6715"
"CUMBERLAND","26341","23270","284","36900","27736","612"
"TIOGA","1624","1417","12","5145","3979","43"
"FOREST","198","186","20","912","2480","171"
"OUT-OF-STATE","51932","44777","36038","106833","79030","54103"
"CARBON","4647","4480","57","10597","7352","121"
"MONTOUR","806","822","11","4719","3572","87"
"WESTMORELAND","24764","21661","708","60021","42917","1690"
"CAMBRIA","5625","5055","372","22898","16263","1030"
"BRADFORD","2002","1825","11","7224","5010","52"
"WYOMING","1589","1508","74","4246","3171","158"
"SOMERSET","3149","2745","141","10161","8583","454"
"CLEARFIELD","2460","2281","452","11378","9964","1032"
"LEHIGH","36067","34224","561","66149","47655","816"
"MONROE","11322","10659","82","21736","15917","81"
"LAWRENCE","3871","3322","350","12714","8667","1001"
"LACKAWANNA","14308","13042","827","43174","33030","1611"
"BUTLER","10923","10550","294","36144","26468","585"
"INDIANA","3947","3534","243","10591","7625","775"
