"county","county_population","partiallycovered","ratepartiallycovered","fullycovered","ratefullycovered"
"Union","44923","4352","9687.7","12798","28488.7"
"Elk","29910","2164","7235","11616","38836.5"
"Potter","16526","1276","7721.2","2914","17632.8"
"Westmoreland","348899","39545","11334.2","119284","34188.7"
"Philadelphia","1584064","36209","2285.8","69204","4368.8"
"Susquehanna","40328","2862","7096.8","9786","24266"
"Erie","269728","21877","8110.8","96242","35681.1"
"Snyder","40372","3932","9739.4","10080","24967.8"
"Perry","46272","7820","16900.1","10981","23731.4"
"Armstrong","64735","6516","10065.7","22798","35217.4"
"Montgomery","830915","223696","26921.6","229124","27574.9"
"Franklin","155027","8797","5674.5","37915","24457"
"Clearfield","79255","4805","6062.7","24394","30779.1"
"Somerset","73447","5404","7357.7","21384","29114.9"
"Berks","421164","57923","13753.1","116186","27586.9"
"Indiana","84073","5945","7071.2","22376","26615"
"Dauphin","278299","40620","14595.8","80311","28857.8"
"Forest","7247","341","4705.4","3795","52366.5"
"Wayne","51361","4898","9536.4","17137","33365.8"
"Pike","55809","6798","12180.8","13493","24177.1"
"Crawford","84629","5136","6068.8","25732","30405.7"
"Mckean","40625","7896","19436.3","8000","19692.3"
"Allegheny","1216045","218061","17932","477428","39260.7"
"Warren","39191","4891","12479.9","9630","24572"
"Mercer","109424","6238","5700.8","35173","32143.8"
"Northampton","305285","63310","20738","104498","34229.7"
"Bradford","60323","2875","4766","14028","23254.8"
"Clarion","38438","2017","5247.4","10960","28513.5"
"Butler","187853","17636","9388.2","70962","37775.3"
"Beaver","163929","15166","9251.6","52220","31855.3"
"Sullivan","6066","1633","26920.5","1731","28536.1"
"Luzerne","317417","34075","10735.1","108420","34157"
"Bucks","628270","96767","15402.1","195780","31161.8"
"Greene","36233","2993","8260.4","10008","27621.2"
"Clinton","38632","2595","6717.2","10230","26480.6"
"Columbia","64964","5348","8232.3","22994","35395"
"Blair","121829","9242","7586","34651","28442.3"
"Jefferson","43425","2764","6365","13796","31769.7"
"Lebanon","141793","11609","8187.3","40128","28300.4"
"Lackawanna","209674","24773","11815","86871","41431.5"
"Delaware","566747","86136","15198.3","174031","30707"
"Huntingdon","45144","2630","5825.8","13008","28814.5"
"Monroe","170271","19914","11695.5","45970","26998.1"
"Mifflin","46138","2778","6021.1","13356","28947.9"
"Carbon","64182","7941","12372.6","21481","33468.9"
"Northumberland","90843","7161","7882.8","30490","33563.4"
"Lycoming","113299","10610","9364.6","34650","30582.8"
"Fulton","14530","580","3991.7","2539","17474.2"
"Montour","18230","1378","7559","9053","49659.9"
"York","449058","42943","9562.9","137918","30712.7"
"Venango","50668","3375","6661","13855","27344.7"
"Schuylkill","141359","18053","12771","46048","32575.2"
"Bedford","47888","3079","6429.6","10080","21049.1"
"Chester","524989","143025","27243.4","168189","32036.7"
"Adams","103009","9230","8960.4","27823","27010.3"
"Washington","206865","30615","14799.5","74328","35930.7"
"Centre","162385","17742","10925.9","58235","35862.3"
"Lancaster","545724","51065","9357.3","185156","33928.5"
"Cameron","4447","332","7465.7","1735","39015.1"
"Tioga","40591","2936","7233.1","9769","24066.9"
"Lehigh","369318","64777","17539.6","132640","35914.8"
"Out-of-State","0","121458",,"257915",
"Juniata","24763","1742","7034.7","5967","24096.4"
"Cambria","130192","9383","7207","43689","33557.4"
"Fayette","129274","9004","6965.1","44247","34227.3"
"Lawrence","85512","6527","7632.8","25171","29435.6"
"Cumberland","253370","50152","19794","78460","30966.6"
"Wyoming","26794","2918","10890.5","8617","32160.2"
